,0,clean gender
1914,,Unknown
1915,Female,F
1916,F,F
1917,M,M
1918,F,F
1919,,Unknown
1920,F,F
1921,F,F
1922,Male,M
1923,Male,M
1924,M,M
1925,,Unknown
1926,,Unknown
1927,Female,F
1928,M,M
1929,Male,M
1930,,Unknown
1931,F,F
1932,M,M
1933,F,F
1934,Female,F
1935,Female,F
1936,M,M
1937,M,M
1938,Female,F
1939,F,F
1940,,Unknown
1941,Male,M
1942,F,F
1943,,Unknown
1944,Female,F
1945,M,M
1946,Male,M
1947,F,F
1948,M,M
1949,Male,M
1950,Female,F
1951,Male,M
1952,,Unknown
1953,F,F
1954,Female,F
1955,,Unknown
1956,M,M
1957,,Unknown
1958,Male,M
1959,,Unknown
1960,,Unknown
